Gene	PDX080	PDX085	PDX090	PDX089	PDX092	PDX323	PDX641	PDX644
A1BG	65	44	54	72	61	69	80	41
A1BG-AS1	38	32	53	60	78	63	67	48
A1CF	0	0	4	14	130	152	141	180
A2M	5	2	23	28	47	42	37	28
A2M-AS1	31	41	26	26	18	29	30	16
A2ML1	13	4	12	10	14	12	12	6
A2MP1	0	4	3	10	7	8	6	1
A3GALT2	0	3	0	0	0	1	1	0
A4GALT	6	5	211	207	230	199	81	90
A4GNT	0	0	0	0	0	1	0	0
AA06	0	0	1	0	0	1	0	0
AAAS	557	411	341	404	376	341	404	330
AACS	704	491	467	626	861	687	957	733
AACSP1	15	1	5	2	3	2	4	1
AADAC	2	1	22	17	33	34	13	7
AADACL2	0	0	2	3	5	16	1	4
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0
AADAT	42	94	184	187	206	195	214	193
AAED1	23	20	48	52	95	60	69	68
AAGAB	3846	3047	2467	2561	3177	2293	2758	2428
AAK1	1108	856	1342	1339	1759	1571	1407	1377
AAMDC	92	91	60	79	72	66	78	70
AAMP	3122	1503	1311	1635	1706	1431	1900	1442
AANAT	2	1	0	3	0	0	2	0
AAR2	743	537	454	554	689	519	698	617
AARD	48	14	18	22	43	42	31	39
AARS	3348	2361	2345	2819	3154	2531	4059	3639
AARS2	294	259	268	325	284	250	278	224
AARSD1	3	3	1	3	2	0	2	0
AASDH	771	704	639	747	884	680	695	561
AASDHPPT	503	440	342	381	579	399	506	565
AASS	36	30	25	61	49	59	66	52
AATBC	1	0	2	4	4	0	5	3
AATF	872	704	766	860	934	866	1256	901
AATK	336	273	286	358	405	384	402	357
AATK-AS1	2	2	4	4	4	3	5	3
ABAT	42	39	118	116	160	123	148	121
ABCA1	1010	751	483	616	948	947	1868	1330
ABCA10	214	411	248	251	428	309	196	135
ABCA11P	257	276	314	331	367	358	248	188
ABCA12	12845	3880	3175	3943	3142	2434	1282	967
ABCA13	1	0	8	4	6	3	13	9
ABCA17P	20	15	17	25	21	20	34	14
ABCA2	541	442	2111	2615	3366	3137	1619	1469
ABCA3	889	977	2271	2006	2646	2005	1791	1750
ABCA4	6	4	1	5	5	5	2	3
ABCA5	1865	2770	1736	1988	2875	2348	2135	1930
ABCA6	74	195	78	85	74	92	56	52
ABCA7	109	141	148	168	158	114	114	100
ABCA8	3	2	1	0	5	0	3	17
ABCA9	20	46	29	29	37	30	24	18
ABCB1	2	0	4	2	2	4	4	7
ABCB10	857	773	629	713	839	696	679	669
ABCB11	0	2	14	13	16	22	18	11
ABCB4	11	10	8	4	5	9	14	7
ABCB5	0	2	0	1	1	0	0	0
ABCB6	1115	644	763	835	737	591	572	454
ABCB7	416	406	272	246	332	258	290	268
ABCB8	998	708	1146	1589	1298	1165	1058	706
ABCB9	146	92	79	85	119	117	147	76
ABCC1	941	635	821	1046	1060	912	781	714
ABCC10	192	194	319	404	307	324	250	170
ABCC11	614	112	22	44	32	32	48	29
ABCC12	11	11	1	2	1	2	1	1
ABCC13	0	0	7	5	11	8	11	26
ABCC2	742	428	172	244	150	113	57	41
ABCC3	135	119	104	199	139	115	43	36
ABCC4	14	21	28	24	98	43	100	125
ABCC5	1225	784	738	825	946	831	932	823
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	24	18	9	9	8	7	8	4
ABCC6P1	1	8	0	1	1	1	3	2
ABCC6P2	0	0	0	0	0	0	0	0
ABCC8	376	180	430	598	1170	1036	1281	777
ABCC9	6	7	3	0	3	4	3	2
ABCD1	363	184	90	152	115	123	110	85
ABCD2	3	11	4	7	12	6	16	11
ABCD3	3280	3510	2229	1970	2449	1870	1304	1442
ABCD4	84	85	99	137	106	109	99	66
ABCE1	1417	1997	2018	1900	2465	1775	2222	2198
ABCF1	503	380	528	560	541	477	566	493
ABCF2	1930	1306	1642	1740	1930	1541	1837	1494
ABCF3	700	556	647	775	715	728	734	609
ABCG1	696	808	249	465	767	526	1143	601
ABCG2	1	2	6	7	18	6	6	10
ABCG4	1	0	3	2	0	2	4	5
ABCG5	0	0	0	0	1	1	0	0
ABCG8	0	0	1	1	0	0	0	1
ABHD1	3	5	1	6	2	4	1	1
ABHD10	1074	948	641	701	1000	812	989	1002
ABHD11	1161	706	383	701	517	436	516	361
ABHD11-AS1	10	4	6	10	10	8	8	6
ABHD12	916	617	507	717	837	804	1106	934
ABHD12B	1	0	1	0	0	0	0	0
ABHD13	976	1093	1158	1119	1378	1140	831	1087
ABHD14A	30	14	19	35	59	34	76	57
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	185	136	103	104	139	142	122	103
ABHD15	148	104	150	148	183	131	178	123
ABHD16A	661	452	479	560	584	447	558	472
ABHD16B	7	4	4	9	5	7	0	1
ABHD17A	65	37	34	39	50	38	59	42
ABHD17B	517	502	553	585	821	635	659	775
ABHD17C	366	256	208	306	389	323	229	211
ABHD18	281	282	340	405	437	387	327	293
ABHD2	4262	5104	8330	10127	10535	7940	13573	11677
ABHD3	637	353	186	221	297	228	248	277
ABHD4	215	196	87	106	89	100	78	98
ABHD5	661	813	667	602	732	567	648	612
ABHD6	18	10	45	34	78	67	88	70
ABHD8	76	63	48	67	81	67	127	121
ABI1	1283	1162	801	928	1129	863	941	848
ABI2	1784	1453	1716	1865	2058	1743	2009	2008
ABI3	0	0	1	0	0	0	2	1
ABI3BP	3	10	25	21	27	43	44	48
ABL1	1258	1297	1233	1650	1709	1403	1505	1238
ABL2	2514	2531	2478	2796	3111	2708	1630	1650
ABLIM1	1682	1416	2230	2351	3282	2442	2531	2235
ABLIM2	29	19	89	110	121	83	116	103
ABLIM3	37	31	51	34	34	34	86	108
ABO	0	0	0	0	0	0	0	0
ABR	1072	777	671	817	1037	813	1119	1127
ABRA	1	2	1	0	0	0	0	0
ABRACL	198	178	222	298	287	233	206	202
ABT1	592	427	411	455	583	444	706	570
ABTB1	57	52	83	134	114	133	76	70
ABTB2	66	47	90	132	218	171	261	224
ACAA1	604	639	548	758	764	782	635	545
ACAA2	452	469	302	380	389	291	289	297
ACACA	3413	2570	2832	3496	3481	3126	2340	2147
ACACB	68	83	26	28	23	17	21	12
ACAD10	295	308	353	442	356	336	297	227
ACAD11	492	369	315	410	479	437	482	306
ACAD8	306	281	363	412	488	448	433	311
ACAD9	1231	1146	1396	1624	1402	1274	1163	862
ACADL	0	0	0	0	1	0	0	1
ACADM	373	386	345	372	458	367	299	354
ACADS	297	338	86	124	145	106	116	67
ACADSB	3231	2397	748	715	902	778	1303	1155
ACADVL	3290	1938	2198	2828	3045	2524	2619	1625
ACAN	1	0	1	0	0	0	0	0
ACAP1	6	3	7	5	5	4	8	7
ACAP2	1907	1693	1442	1592	1946	1624	1599	1597
ACAP3	265	279	621	718	851	690	516	383
ACAT1	315	276	252	301	296	235	304	279
ACAT2	595	545	440	419	423	335	372	371
ACBD3	4787	3240	3307	3653	4259	3675	4399	4461
ACBD4	140	116	60	95	103	85	148	118
ACBD5	1154	1231	691	734	969	810	1016	969
ACBD6	618	490	400	466	523	440	493	431
ACBD7	97	80	46	51	58	36	82	101
ACCS	103	87	74	107	114	93	83	55
ACCSL	0	0	0	1	0	0	0	0
ACD	88	83	56	119	105	95	154	87
ACE	246	126	165	155	199	211	192	250
ACE2	3	1	6	4	1	3	1	1
ACER1	1	1	0	0	2	1	0	1
ACER2	77	109	78	84	80	61	64	52
ACER3	1080	761	824	836	925	826	757	763
ACHE	6	5	1	4	2	2	11	12
ACIN1	2260	1960	2610	3461	2989	2771	2697	2005
ACKR1	0	0	1	2	0	0	1	1
ACKR2	18	8	34	25	33	23	12	11
ACKR3	1815	429	244	352	326	226	427	236
ACKR4	3	8	12	8	5	2	2	2
ACLY	6819	5832	5095	5821	6598	4973	5728	5106
ACMSD	3	1	11	17	25	22	33	25
ACO1	34	21	69	83	71	58	104	91
ACO2	1891	1425	1300	1544	1576	1323	1358	1220
ACOD1	0	0	0	0	0	0	0	0
ACOT1	37	17	13	16	29	17	22	17
ACOT11	13	5	8	17	12	11	12	13
ACOT12	70	55	36	39	39	39	8	9
ACOT13	708	599	825	736	898	698	704	741
ACOT2	73	40	33	30	53	38	32	30
ACOT4	2	2	0	2	3	1	5	1
ACOT6	0	0	1	0	0	0	0	0
ACOT7	237	156	230	221	220	174	185	174
ACOT8	237	183	198	267	228	212	189	172
ACOT9	88	111	68	96	73	62	110	64
ACOX1	3751	2946	2905	3079	4481	3459	4563	4286
ACOX2	11	5	1	1	3	5	0	1
ACOX3	1045	973	400	574	464	421	382	324
ACOXL	0	1	0	2	2	1	1	2
ACP1	685	596	473	484	572	507	596	557
ACP2	119	71	96	114	122	113	154	117
ACP5	185	123	102	69	126	107	105	102
ACP6	105	83	50	68	65	61	43	43
ACP7	0	2	3	1	5	2	1	4
ACPP	59	55	67	76	45	65	32	35
ACPT	0	0	8	7	4	6	2	2
ACR	2	0	2	1	0	1	2	2
ACRBP	28	30	37	42	33	30	31	38
ACRC	26	35	73	88	63	39	35	19
ACRV1	4	6	3	2	1	1	2	1
ACSBG1	7	3	12	9	12	6	4	1
ACSBG2	0	0	1	1	0	0	0	0
ACSF2	306	261	43	100	67	66	47	40
ACSF3	336	208	222	265	303	261	327	241
ACSL1	112	79	124	141	254	246	188	213
ACSL3	7548	7585	3768	3982	4724	4565	3247	3130
ACSL4	32	39	80	54	124	58	153	224
ACSL5	6	1	4	3	9	6	32	15
ACSL6	800	522	260	335	407	347	506	404
ACSM1	84	39	43	45	63	42	32	38
ACSM2A	0	0	2	0	1	1	2	0
ACSM2B	0	0	1	0	3	0	0	0
ACSM3	18	28	27	47	63	48	51	44
ACSM4	0	0	0	0	0	1	1	0
ACSM5	2	1	18	14	16	13	11	13
ACSM6	0	0	0	2	0	0	2	0
ACSS1	1141	896	373	591	514	414	372	333
ACSS2	149	117	272	396	350	430	186	123
ACSS3	1	3	3	0	0	1	2	2
ACTA1	37	7	22	76	44	90	35	20
ACTA2	183	157	275	230	195	222	424	320
ACTB	8555	4521	8957	12408	10496	8924	6951	6996
ACTBL2	0	0	0	0	0	0	0	0
ACTC1	1	1	1	0	0	0	2	1
ACTG1	38038	25420	46994	67192	64008	51353	57077	46355
ACTG1P17	7	15	20	28	19	15	18	8
ACTG1P20	1229	804	1313	2166	2000	1527	1265	941
ACTG1P4	2	0	1	2	2	0	3	2
ACTG2	207	99	186	179	138	127	263	171
ACTL10	14	14	7	20	12	12	16	13
ACTL6A	1256	999	1218	1227	1481	921	1308	1437
ACTL6B	166	98	218	213	221	153	263	262
ACTL7A	0	0	0	0	0	0	0	0
ACTL7B	0	0	1	0	0	0	1	0
ACTL8	5	2	3	9	3	7	4	9
ACTL9	0	0	0	0	0	0	0	0
ACTN1	443	361	707	699	660	625	583	504
ACTN1-AS1	1	0	0	0	0	1	1	1
ACTN2	92	79	107	78	103	71	123	178
ACTN3	1	1	0	0	3	3	0	0
ACTN4	3761	3032	3216	4081	3806	3084	2966	2571
ACTR10	394	324	353	380	524	397	500	457
ACTR1A	1663	1012	1222	1560	1744	1394	1570	1269
ACTR1B	1352	1084	1042	1248	1472	1182	1557	1192
ACTR2	4322	4467	5331	5863	5972	4874	3807	4264
ACTR3	2403	2114	2292	2337	2858	2204	2612	2758
ACTR3B	206	170	291	273	244	229	191	163
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0
ACTR3C	73	68	146	163	136	134	51	34
ACTR5	209	184	201	265	239	164	157	110
ACTR6	1541	1284	982	994	1466	1071	1267	1125
ACTR8	703	674	713	803	1037	764	858	702
ACTRT1	2	2	0	3	3	0	1	1
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	12	17	5	14	10	16	18	17
ACVR1	108	99	124	155	153	113	75	107
ACVR1B	769	938	639	792	958	848	971	914
ACVR1C	10	2	12	17	13	15	5	9
ACVR2A	930	820	598	728	961	720	768	732
ACVR2B	866	944	1182	1428	1433	1169	1467	1197
ACVR2B-AS1	41	52	11	24	29	35	40	33
ACVRL1	9	9	1	4	1	4	1	0
ACY1	12	5	5	4	5	8	4	1
ACY3	0	0	0	0	0	0	0	0
ACYP1	32	30	41	33	44	34	33	32
ACYP2	37	48	37	47	59	48	61	45
ADA	18	12	19	22	35	15	23	22
ADAD1	0	0	0	2	0	1	0	0
ADAD2	0	2	0	4	1	1	0	0
ADAL	424	358	392	387	415	325	311	298
ADAM10	2079	1981	1993	2035	2421	2050	2156	2212
ADAM11	46	33	27	36	49	32	56	46
ADAM12	0	2	12	5	10	3	10	2
ADAM15	1724	918	742	814	1055	849	916	790
ADAM17	394	397	297	394	428	361	310	253
ADAM18	5	5	1	2	0	1	0	1
ADAM19	81	64	77	100	174	103	153	162
ADAM1A	170	150	229	261	235	192	176	117
ADAM2	17	36	2	12	10	10	5	4
ADAM20	44	77	75	95	66	57	32	17
ADAM20P1	28	44	30	53	26	23	22	13
ADAM21	1	1	3	1	2	2	3	1
ADAM21P1	0	0	1	1	1	0	0	0
ADAM22	51	149	121	116	229	122	334	396
ADAM23	6	3	20	9	13	9	57	66
ADAM28	3	24	318	296	826	602	442	229
ADAM29	0	2	5	2	4	5	8	6
ADAM30	0	1	0	0	0	0	0	0
ADAM32	350	500	206	267	275	215	261	290
ADAM33	33	4	23	21	15	12	8	5
ADAM3A	0	5	0	0	2	0	0	0
ADAM5	4	6	4	6	5	4	0	3
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	1	2	2	0	1
ADAM8	52	7	22	23	25	24	29	32
ADAM9	4433	4320	2376	3037	4467	3158	3669	3189
ADAMDEC1	0	0	0	0	1	0	0	0
ADAMTS1	11	12	17	16	8	8	4	12
ADAMTS10	112	58	63	110	74	79	97	54
ADAMTS12	26	41	71	80	150	136	135	100
ADAMTS13	98	104	108	161	131	138	96	46
ADAMTS14	11	4	10	13	11	6	4	5
ADAMTS15	5233	9430	2016	2921	1795	1462	829	598
ADAMTS16	3	1	0	1	6	1	2	0
ADAMTS17	89	121	561	501	440	329	139	191
ADAMTS18	46	4	24	45	144	145	296	235
ADAMTS19	239	198	77	150	128	85	196	246
ADAMTS2	29	16	41	21	31	12	15	23
ADAMTS20	1	0	4	2	6	3	0	1
ADAMTS3	1	3	3	2	15	5	4	2
ADAMTS4	11	8	13	8	9	9	3	9
ADAMTS5	16	25	19	16	9	13	19	22
ADAMTS6	82	36	114	89	167	115	204	193
ADAMTS7	2	3	9	7	8	6	5	2
ADAMTS7P1	0	0	0	0	0	0	0	0
ADAMTS8	15	11	15	42	22	37	8	2
ADAMTS9	6	1	6	13	3	6	3	9
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	4	3	8	6	7	9	14	12
ADAMTSL2	1	0	13	25	9	12	11	9
ADAMTSL3	352	290	34	48	28	24	70	43
ADAMTSL4	2	2	4	2	0	0	3	4
ADAMTSL5	7	4	15	16	13	10	5	3
ADAP1	11	5	19	20	41	36	111	100
ADAP2	10	12	6	19	19	17	10	14
ADAR	6260	5438	4793	5580	6369	5627	5379	4548
ADARB1	162	258	380	497	379	359	184	164
ADARB2	1	5	2	0	2	2	7	8
ADARB2-AS1	0	0	0	0	0	0	0	0
ADAT1	916	798	942	1053	1067	833	736	716
ADAT2	210	180	404	398	411	396	309	245
ADAT3	13	12	16	28	15	21	15	7
ADCK1	70	44	61	71	67	61	65	30
ADCK2	1038	576	419	538	684	509	919	614
ADCK3	1996	1216	934	1291	1287	1088	1372	967
ADCK4	428	256	354	440	456	441	492	389
ADCK5	160	85	154	227	191	145	136	87
ADCY1	1785	1238	6319	6553	8841	6315	11034	7926
ADCY10	28	28	31	29	15	17	12	17
ADCY10P1	52	69	72	99	80	69	36	15
ADCY2	134	125	11	13	28	9	26	20
ADCY3	112	79	68	71	107	76	129	100
ADCY4	14	1	6	5	3	1	3	4
ADCY5	191	501	87	100	282	242	291	384
ADCY6	1828	1571	778	1064	1012	878	937	718
ADCY7	570	88	135	188	187	145	204	165
ADCY8	0	1	0	0	0	1	0	0
ADCY9	585	566	612	669	892	825	753	674
ADCYAP1	0	0	0	0	0	0	0	0
ADCYAP1R1	0	1	0	1	0	0	1	1
ADD1	3269	2901	3001	3385	3304	2880	3534	3019
ADD2	325	238	511	501	591	467	547	643
ADD3	1828	2675	2243	2200	2551	2129	3405	2702
ADD3-AS1	0	3	7	4	7	2	1	3
ADGB	23	12	144	165	257	300	101	84
ADGRA1	2	1	2	1	1	2	11	4
ADGRA2	15	24	13	11	27	14	28	29
ADGRA3	785	688	1233	1423	1653	1321	1049	947
ADGRB1	52	48	294	387	343	318	110	64
ADGRB2	197	183	230	283	344	258	317	251
ADGRB3	2	1	3	11	7	9	11	11
ADGRD1	1	3	36	25	43	45	38	26
ADGRD2	2	0	0	0	0	3	3	1
ADGRE1	2	5	8	5	3	3	12	3
ADGRE2	0	2	15	7	2	2	2	0
ADGRE3	0	0	0	0	0	0	0	0
ADGRE4P	0	0	0	0	0	0	0	0
ADGRE5	26	15	34	25	16	12	11	10
ADGRF1	7	0	0	0	0	1	1	2
ADGRF2	1	1	3	7	5	3	5	3
ADGRF3	10	20	14	14	16	13	10	8
ADGRF4	13	7	45	51	40	32	41	41
ADGRF5	0	0	0	0	2	0	2	1
ADGRG1	925	742	1193	1610	1980	1693	1592	1314
ADGRG2	1	2	3	4	0	3	8	9
ADGRG3	0	0	1	0	0	4	5	2
ADGRG4	0	0	0	0	0	0	0	0
ADGRG5	64	26	27	36	21	16	24	13
ADGRG6	1300	1262	863	1031	604	458	203	121
ADGRG7	1	1	3	2	6	2	0	3
ADGRL1	847	1001	1664	1562	1673	1271	996	1001
ADGRL2	657	11	17	9	17	23	16	17
ADGRL3	18	13	1072	866	1486	949	641	1164
ADGRL4	2	1	0	2	1	1	1	2
ADGRV1	2782	1383	956	876	897	590	1590	967
ADH1A	0	0	0	0	0	0	3	1
ADH1B	0	0	1	1	0	0	1	2
ADH1C	2	2	1	2	1	1	5	6
ADH4	0	1	0	0	0	0	0	0
ADH5	1079	902	952	1029	1385	882	1068	1044
ADH6	0	0	2	1	15	21	14	18
ADH7	0	2	1	0	0	1	0	2
ADHFE1	40	89	119	111	152	127	162	67
ADI1	186	104	111	149	131	94	124	115
ADIG	0	0	2	1	1	1	0	0
ADIPOQ	6	7	6	10	2	0	2	5
ADIPOQ-AS1	0	0	0	0	0	0	0	0
ADIPOR1	3218	2452	1717	1867	2341	1843	2888	2461
ADIPOR2	1407	1334	1244	1380	1568	1191	927	985
ADIRF	171	181	47	74	64	48	65	50
ADK	473	476	455	491	563	446	364	400
ADM	3	0	3	7	6	9	14	8
ADM2	127	102	48	68	55	49	47	81
ADM5	26	22	26	36	20	15	21	16
ADNP	5573	5561	5665	6551	6787	5526	3411	3693
ADNP2	1172	1044	970	1122	1197	1005	1116	964
ADO	1156	1080	1303	1406	1898	1406	1575	1666
ADORA1	119	76	911	1023	1041	866	1261	760
ADORA2A	4	2	26	22	16	10	10	4
ADORA2A-AS1	0	1	0	2	0	0	0	0
ADORA2B	1	1	1	2	0	0	2	4
ADORA3	1	0	0	1	0	1	0	0
ADPGK	772	647	713	763	705	629	658	489
ADPGK-AS1	0	5	2	3	2	0	5	4
ADPRH	78	78	139	98	141	102	99	91
ADPRHL1	174	136	89	107	137	102	92	92
ADPRHL2	189	146	135	153	151	136	207	167
ADPRM	148	144	108	112	178	121	145	113
ADRA1A	5	2	2	12	8	1	7	4
ADRA1B	23	5	72	127	123	98	18	11
ADRA1D	24	5	4	6	5	2	10	3
ADRA2A	2	1	7	17	4	12	12	14
ADRA2B	11	6	10	13	9	5	4	3
ADRA2C	123	80	38	55	84	82	109	82
ADRB1	30	35	139	110	219	145	277	190
ADRB2	0	1	1	0	0	0	2	0
ADRB3	0	1	0	0	0	0	0	0
ADRBK1	689	444	409	483	500	468	595	463
ADRBK2	979	858	541	477	448	359	369	453
ADRM1	1336	836	930	1060	1049	887	1126	905
ADSL	759	513	597	752	795	626	846	765
ADSS	2627	2426	1805	2056	2277	1599	2171	1896
ADSSL1	179	105	180	255	293	214	296	332
ADTRP	2	1	36	87	118	156	23	28
AEBP1	46	42	89	79	83	54	91	86
AEBP2	727	892	912	903	1107	834	627	781
AEN	308	192	345	439	487	343	507	401
AES	1845	1318	1142	1403	1655	1305	2419	1974
AFAP1	355	271	728	882	836	632	522	502
AFAP1-AS1	5	4	8	6	6	7	13	14
AFAP1L1	1	4	3	0	3	4	5	3
AFAP1L2	94	145	478	690	623	450	286	241
AFF1	1728	1429	2295	2746	2965	2486	1390	1141
AFF2	2	0	15	13	21	27	12	12
AFF3	19453	26091	14386	17367	17539	13438	13829	12439
AFF4	5916	5246	6199	7215	8466	6810	5949	6163
AFG3L1P	294	280	340	423	330	295	249	163
AFG3L2	959	749	595	683	750	639	776	649
AFM	0	0	0	0	0	0	0	0
AFMID	323	313	312	372	359	293	501	402
AFP	24	11	2	0	0	0	1	1
AFTPH	3296	3473	2435	2694	2965	2385	2511	2577
AGA	338	629	457	402	626	394	471	479
AGAP1	1482	944	1053	1297	1554	1373	1537	1299
AGAP11	36	31	48	48	46	44	24	21
AGAP2	57	70	108	120	138	100	125	103
AGAP2-AS1	65	55	82	89	134	108	129	111
AGAP3	934	737	1406	1957	1577	1375	1364	963
AGAP4	12	11	10	10	7	6	11	6
AGAP5	22	31	41	34	45	31	29	14
AGAP6	77	41	76	109	97	74	79	26
AGAP7P	0	0	2	4	0	0	0	0
AGAP9	0	0	0	3	0	0	0	0
AGBL1	0	1	82	62	47	45	4	3
AGBL1-AS1	0	0	0	0	0	0	0	0
AGBL2	26	32	44	40	32	42	42	22
AGBL3	237	294	153	153	232	120	139	114
AGBL4	40	78	63	64	97	83	90	71
AGBL5	1288	912	581	741	930	747	1153	1021
AGER	10	14	32	33	23	19	11	3
AGFG1	3958	2879	3440	3781	4251	3353	3689	3522
AGFG2	174	171	147	168	241	205	201	158
AGGF1	2582	2353	2163	2057	2637	2090	2149	2018
AGK	660	498	479	490	514	398	455	444
AGL	1577	1513	1746	1718	2493	1697	2705	3260
AGMAT	0	1	0	0	0	0	0	0
AGMO	0	0	0	0	0	1	0	3
AGO1	1361	1244	1233	1637	1726	1462	1837	1469
AGO2	1252	1137	1852	2164	2001	1812	1680	1568
AGO3	371	348	535	619	547	510	429	330
AGO4	802	795	726	866	853	814	1062	757
AGPAT1	307	210	283	326	387	360	410	324
AGPAT2	192	129	178	209	234	216	174	155
AGPAT3	1040	1045	714	898	873	857	965	711
AGPAT4	70	29	121	162	200	135	217	174
AGPAT4-IT1	3	3	27	36	28	12	21	13
AGPAT5	1303	1355	957	859	1480	845	1221	1371
AGPS	1328	618	628	687	819	661	760	851
AGR2	832	476	1067	1309	1690	1085	2567	2546
AGR3	448	585	626	743	1015	727	987	1013
AGRN	1232	1109	1408	1765	1757	1330	981	871
AGRP	0	2	0	1	1	1	0	0
AGT	0	1	3	2	25	20	313	245
AGTPBP1	405	401	640	670	950	671	674	786
AGTR1	53	42	6	8	14	17	20	16
AGTR2	0	0	0	0	0	0	0	1
AGTRAP	243	137	149	177	229	199	197	154
AGXT	0	0	0	0	0	0	0	1
AGXT2	20	56	15	21	6	8	6	2
AHCTF1	4406	3785	3841	4192	4680	3700	3576	3120
AHCTF1P1	2003	1609	1699	1886	2026	1634	1699	1467
AHCY	1983	1181	953	1172	1514	1155	2063	1627
AHCYL1	2353	2185	2079	2309	2588	2127	1832	1660
AHCYL2	932	909	688	911	853	801	676	528
AHDC1	233	215	630	904	615	704	396	393
AHI1	1779	1590	1678	2119	2322	1964	2045	1622
AHNAK	46200	40547	31614	43207	36281	33256	23375	18427
AHNAK2	511	182	406	624	537	472	608	425
AHR	414	253	381	366	367	276	270	696
AHRR	27	15	32	43	50	43	27	31
AHSA1	866	391	554	650	661	569	758	675
AHSA2	1005	982	835	1088	892	885	838	426
AHSG	0	0	0	1	4	0	1	3
AHSP	0	0	0	0	0	1	0	0
AICDA	0	0	0	0	0	0	0	0
AIDA	193	157	234	230	324	205	191	175
AIF1	4	4	5	2	2	3	9	12
AIF1L	630	314	163	128	174	109	267	293
AIFM1	320	225	260	337	286	229	222	192
AIFM2	85	90	84	103	100	96	85	72
AIFM3	35	17	27	23	16	13	21	24
AIG1	1093	1556	500	498	676	546	727	709
AIM1	1829	2469	649	832	604	362	465	269
AIM1L	63	17	27	40	29	16	28	22
AIM2	0	0	2	2	0	0	0	0
AIMP1	2308	2009	1557	1546	2094	1626	1973	2058
AIMP2	300	193	216	296	336	255	338	331
AIP	250	125	99	159	173	175	290	250
AIPL1	0	0	0	1	2	0	0	0
AIRE	0	0	0	0	0	0	0	0
AIRN	0	0	1	0	0	0	0	0
AJAP1	6	7	0	0	5	0	5	2
AJUBA	138	104	90	127	108	82	87	71
AK1	244	164	241	268	359	272	321	276
AK2	1163	997	930	1097	1131	933	1148	937
AK3	583	989	725	790	1071	766	999	1101
AK4	19	16	36	43	26	38	31	36
AK5	4	5	2	6	6	4	14	12
AK7	20	11	15	14	24	20	58	46
AK8	70	42	48	53	76	80	63	54
AK9	290	403	447	473	507	411	483	383
AKAP1	1721	1367	1314	1699	2029	1676	2577	2005
AKAP10	1011	932	618	768	805	652	690	593
AKAP11	2212	2383	2627	2888	4305	3366	3114	3106
AKAP12	31	22	34	34	24	19	6	6
AKAP13	3964	3696	2747	3749	3455	2965	2704	1873
AKAP14	1	1	0	0	1	1	1	0
AKAP17A	0	0	0	0	0	0	0	0
AKAP2	2	0	0	1	0	0	0	2
AKAP3	11	14	3	8	7	6	9	4
AKAP4	0	0	0	0	0	0	0	0
AKAP5	45	61	36	35	50	31	37	63
AKAP6	310	300	220	291	324	255	339	351
AKAP7	116	145	97	134	112	100	95	111
AKAP8	526	444	486	533	487	421	448	374
AKAP8L	655	688	534	685	666	560	654	518
AKAP9	7462	6780	5864	6651	8070	6691	6288	5444
AKIP1	243	141	196	251	268	216	236	190
AKIRIN1	787	589	964	1096	1052	835	880	941
AKIRIN2	118	191	204	243	238	195	165	185
AKNA	150	138	214	388	274	265	273	220
AKNAD1	3	3	7	6	8	8	10	5
AKR1A1	395	353	314	404	379	339	504	377
AKR1B1	5	2	5	4	3	3	6	3
AKR1B10	62	43	10	22	13	6	14	6
AKR1B15	1	4	2	3	3	3	1	2
AKR1C1	4	3	11	5	17	12	11	7
AKR1C2	23	3	5	9	16	9	18	12
AKR1C3	53	31	4	8	15	17	18	25
AKR1C4	0	0	0	0	0	1	0	2
AKR1C6P	0	0	0	0	0	0	0	0
AKR1C8P	5	6	1	1	1	0	0	0
AKR1D1	0	0	0	1	0	1	0	0
AKR1E2	0	0	0	0	0	0	0	0
AKR7A2	509	404	323	396	426	315	484	447
AKR7A2P1	49	28	20	39	26	30	26	34
AKR7A3	308	210	95	116	72	74	91	94
AKR7L	16	18	20	13	12	12	16	8
AKT1	2449	2092	1869	1970	2186	1839	2551	2161
AKT1S1	321	289	359	447	419	407	427	355
AKT2	2249	1765	1170	1511	1484	1216	1379	1124
AKT3	47	40	69	43	71	78	74	88
AKTIP	300	275	192	245	253	206	280	226
ALAD	387	381	328	389	391	369	417	316
ALAS1	558	361	309	456	418	345	398	421
ALAS2	0	0	1	0	1	0	1	0
ALB	36	43	29	45	33	33	26	34
ALCAM	7086	5915	3546	4048	5996	5781	3373	4304
ALDH16A1	312	304	246	325	267	199	238	189
ALDH18A1	787	482	671	792	996	816	950	811
ALDH1A1	7	0	44	127	637	728	512	584
ALDH1A2	10	4	21	6	37	10	24	39
ALDH1A3	17	33	16	23	34	16	49	39
ALDH1B1	165	130	187	225	257	214	350	347
ALDH1L1	8	5	3	6	6	4	2	2
ALDH1L1-AS1	0	0	3	3	1	3	0	2
